128,118,8474.576271
128,116,8620.689655
128,118,8474.576271
128,117,8547.008547
128,115,8695.652174
512,124,8064.516129
512,125,8000
512,125,8000
512,120,8333.333333
512,126,7936.507937
1024,122,8196.721311
1024,119,8403.361345
1024,123,8130.081301
1024,120,8333.333333
1024,117,8547.008547
4096,127,7874.015748
4096,131,7633.587786
4096,117,8547.008547
4096,116,8620.689655
4096,119,8403.361345
8192,119,8403.361345
8192,124,8064.516129
8192,119,8403.361345
8192,121,8264.46281
8192,121,8264.46281
65536,117,8547.008547
65536,116,8620.689655
65536,113,8849.557522
65536,114,8771.929825
65536,114,8771.929825
262144,119,8403.361345
262144,123,8130.081301
262144,122,8196.721311
262144,126,7936.507937
262144,118,8474.576271
1048576,120,8333.333333
1048576,126,7936.507937
1048576,148,6756.756757
1048576,126,7936.507937
1048576,127,7874.015748
2097152,135,7407.407407
2097152,134,7462.686567
2097152,139,7194.244604
2097152,134,7462.686567
2097152,126,7936.507937